Office,Zone
TUXPAN,10
TECUALA,10
SANTIAGO IXCUINTLA,10
SAN BLAS,10
TEPIC,10
HERMOSILLO,8
MAZATLÁN,9
ROSARIO,9
ESCUINAPA,9
TOPOLOBAMPO,9
LOS MOCHIS,9
GUASAVE,9
NAVOLATO,9
LA REFORMA,9
CULIACÁN,9
HUATABAMPO,8
CIUDAD OBREGÓN,8
BAHÍA KINO,8
TIJUANA-ROSARITO,1
SAN QUINTÍN,1
ENSENADA,1
EL ROSARIO,1
LORETO,5
SANTA ROSALÍA,5
GUAYMAS,8
PEÑITA DE JALTEMBA,11
CRUZ DE HUANACAXTLE,11
LA PAZ,5
CABO SAN LUCAS,5
ISLA DE CEDROS,3
PUNTA ABREOJOS,3
BAHÍA DE TORTUGAS,3
BAHÍA ASUNCIÓN,3
MEXICALI,7
PUERTO LIBERTAD,7
GOLFO DE SANTA CLARA,7
SAN FELIPE,6
PUERTO PEÑASCO,7
BAHÍA DE LOS ÁNGELES,6
JESÚS MARÍA,2
GUERRERO NEGRO,2
CIUDAD CONSTITUCIÓN,4
SAN CARLOS,4
ADOLFO LÓPEZ MATEOS,4
